0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
21946350,333416580,229353104,116459472,2331221157,374317840,32087583,1411498,3895056,1460486116,1698787680,8495232,315507000,80417925,1305197563,626096367,308811284,540588433,302171610,103387545,151142000,22851604,838895988,496287616,711941648,247020367,60920346,1059296484,41151348,181834352,14956821,195408180,71292186,55442808,1225574343,1040329900,308643738,156056269,870535252,6356166,241989558,59272153,655600704,7393949655,96178740,1143759546,9359835,304595720,425037682,100360232,13890216
0.0,0.0,0.0,0.0,3.6693837545463965e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6693837545463965e-07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.7248961903002056e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7248961903002056e-07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.770649280347051e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.770649280347051e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.770649280347051e-07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.8211151310323326e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8211151310323326e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8211151310323326e-07,0.0,0.0,0.0
0.0,0.0,0.0,3.883379824533156e-07,3.883379824533156e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883379824533156e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883379824533156e-07,0.0,0.0,0.0
0.0,0.0,0.0,3.933845675218437e-07,3.933845675218437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933845675218437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933845675218437e-07,0.0,0.0,0.0
0.0,0.0,0.0,3.9641251856296056e-07,3.9641251856296056e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9641251856296056e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9641251856296056e-07,0.0,0.0,0.0
0.0,0.0,0.0,3.984311525903718e-07,3.984311525903718e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.984311525903718e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.984311525903718e-07,0.0,0.0,0.0
